0;1.66;1.49
0;1.66;1.51
0;1.66;1.52
15;1.47;0.77
15;1.43;0.79
15;1.47;0.79
30;1.3;0.4
30;1.3;0.37
30;1.31;0.38
45;1.48;0.27
45;1.48;0.27
45;1.49;0.27
60;1.97;0.37
60;1.95;0.36
60;1.94;0.34
75;2.16;0.75
75;2.12;0.76
75;2.25;0.78
90;2.3;1.75
90;2.39;1.84
90;2.41;1.79
105;3.28;1.41
105;3.19;1.44
105;3.45;1.57
120;4.49;0.93
120;4.2;0.85
120;4.46;0.93
135;7.87;0.55
135;4.69;0.55
135;5.05;0.55
150;4.43;0.83
150;4.18;0.85
150;4.33;0.85
165;3.35;1.26
165;3.17;1.33
165;3.35;1.27
180;1.81;1.6
180;1.72;1.58
180;1.8;1.6